HLA_Class,HLA_FourDigits
ClassII,DRB1_0101
ClassII,DRB1_0102
ClassII,DRB1_0103
ClassII,DRB1_0104
ClassII,DRB1_0105
ClassII,DRB1_0106
ClassII,DRB1_0107
ClassII,DRB1_0108
ClassII,DRB1_0109
ClassII,DRB1_0110
ClassII,DRB1_0111
ClassII,DRB1_0112
ClassII,DRB1_0113
ClassII,DRB1_0114
ClassII,DRB1_0115
ClassII,DRB1_0116
ClassII,DRB1_0117
ClassII,DRB1_0118
ClassII,DRB1_0119
ClassII,DRB1_0120
ClassII,DRB1_0121
ClassII,DRB1_0122
ClassII,DRB1_0123
ClassII,DRB1_0124
ClassII,DRB1_0125
ClassII,DRB1_0126
ClassII,DRB1_0127
ClassII,DRB1_0128
ClassII,DRB1_0129
ClassII,DRB1_0130
ClassII,DRB1_0131
ClassII,DRB1_0132
ClassII,DRB1_0301
ClassII,DRB1_0302
ClassII,DRB1_0303
ClassII,DRB1_0304
ClassII,DRB1_0305
ClassII,DRB1_0306
ClassII,DRB1_0307
ClassII,DRB1_0308
ClassII,DRB1_0310
ClassII,DRB1_0311
ClassII,DRB1_0313
ClassII,DRB1_0314
ClassII,DRB1_0315
ClassII,DRB1_0317
ClassII,DRB1_0318
ClassII,DRB1_0319
ClassII,DRB1_0320
ClassII,DRB1_0321
ClassII,DRB1_0322
ClassII,DRB1_0323
ClassII,DRB1_0324
ClassII,DRB1_0325
ClassII,DRB1_0326
ClassII,DRB1_0327
ClassII,DRB1_0328
ClassII,DRB1_0329
ClassII,DRB1_0330
ClassII,DRB1_0331
ClassII,DRB1_0332
ClassII,DRB1_0333
ClassII,DRB1_0334
ClassII,DRB1_0335
ClassII,DRB1_0336
ClassII,DRB1_0337
ClassII,DRB1_0338
ClassII,DRB1_0339
ClassII,DRB1_0340
ClassII,DRB1_0341
ClassII,DRB1_0342
ClassII,DRB1_0343
ClassII,DRB1_0344
ClassII,DRB1_0345
ClassII,DRB1_0346
ClassII,DRB1_0347
ClassII,DRB1_0348
ClassII,DRB1_0349
ClassII,DRB1_0350
ClassII,DRB1_0351
ClassII,DRB1_0352
ClassII,DRB1_0353
ClassII,DRB1_0354
ClassII,DRB1_0355
ClassII,DRB1_0401
ClassII,DRB1_0402
ClassII,DRB1_0403
ClassII,DRB1_0404
ClassII,DRB1_0405
ClassII,DRB1_0406
ClassII,DRB1_0407
ClassII,DRB1_0408
ClassII,DRB1_0409
ClassII,DRB1_0410
ClassII,DRB1_0411
ClassII,DRB1_0412
ClassII,DRB1_0413
ClassII,DRB1_0414
ClassII,DRB1_0415
ClassII,DRB1_0416
ClassII,DRB1_0417
ClassII,DRB1_0418
ClassII,DRB1_0419
ClassII,DRB1_0421
ClassII,DRB1_0422
ClassII,DRB1_0423
ClassII,DRB1_0424
ClassII,DRB1_0426
ClassII,DRB1_0427
ClassII,DRB1_0428
ClassII,DRB1_0429
ClassII,DRB1_0430
ClassII,DRB1_0431
ClassII,DRB1_0433
ClassII,DRB1_0434
ClassII,DRB1_0435
ClassII,DRB1_0436
ClassII,DRB1_0437
ClassII,DRB1_0438
ClassII,DRB1_0439
ClassII,DRB1_0440
ClassII,DRB1_0441
ClassII,DRB1_0442
ClassII,DRB1_0443
ClassII,DRB1_0444
ClassII,DRB1_0445
ClassII,DRB1_0446
ClassII,DRB1_0447
ClassII,DRB1_0448
ClassII,DRB1_0449
ClassII,DRB1_0450
ClassII,DRB1_0451
ClassII,DRB1_0452
ClassII,DRB1_0453
ClassII,DRB1_0454
ClassII,DRB1_0455
ClassII,DRB1_0456
ClassII,DRB1_0457
ClassII,DRB1_0458
ClassII,DRB1_0459
ClassII,DRB1_0460
ClassII,DRB1_0461
ClassII,DRB1_0462
ClassII,DRB1_0463
ClassII,DRB1_0464
ClassII,DRB1_0465
ClassII,DRB1_0466
ClassII,DRB1_0467
ClassII,DRB1_0468
ClassII,DRB1_0469
ClassII,DRB1_0470
ClassII,DRB1_0471
ClassII,DRB1_0472
ClassII,DRB1_0473
ClassII,DRB1_0474
ClassII,DRB1_0475
ClassII,DRB1_0476
ClassII,DRB1_0477
ClassII,DRB1_0478
ClassII,DRB1_0479
ClassII,DRB1_0480
ClassII,DRB1_0482
ClassII,DRB1_0483
ClassII,DRB1_0484
ClassII,DRB1_0485
ClassII,DRB1_0486
ClassII,DRB1_0487
ClassII,DRB1_0488
ClassII,DRB1_0489
ClassII,DRB1_0491
ClassII,DRB1_0701
ClassII,DRB1_0703
ClassII,DRB1_0704
ClassII,DRB1_0705
ClassII,DRB1_0706
ClassII,DRB1_0707
ClassII,DRB1_0708
ClassII,DRB1_0709
ClassII,DRB1_0711
ClassII,DRB1_0712
ClassII,DRB1_0713
ClassII,DRB1_0714
ClassII,DRB1_0715
ClassII,DRB1_0716
ClassII,DRB1_0717
ClassII,DRB1_0719
ClassII,DRB1_0801
ClassII,DRB1_0802
ClassII,DRB1_0803
ClassII,DRB1_0804
ClassII,DRB1_0805
ClassII,DRB1_0806
ClassII,DRB1_0807
ClassII,DRB1_0808
ClassII,DRB1_0809
ClassII,DRB1_0810
ClassII,DRB1_0811
ClassII,DRB1_0812
ClassII,DRB1_0813
ClassII,DRB1_0814
ClassII,DRB1_0815
ClassII,DRB1_0816
ClassII,DRB1_0818
ClassII,DRB1_0819
ClassII,DRB1_0820
ClassII,DRB1_0821
ClassII,DRB1_0822
ClassII,DRB1_0823
ClassII,DRB1_0824
ClassII,DRB1_0825
ClassII,DRB1_0826
ClassII,DRB1_0827
ClassII,DRB1_0828
ClassII,DRB1_0829
ClassII,DRB1_0830
ClassII,DRB1_0831
ClassII,DRB1_0832
ClassII,DRB1_0833
ClassII,DRB1_0834
ClassII,DRB1_0835
ClassII,DRB1_0836
ClassII,DRB1_0837
ClassII,DRB1_0838
ClassII,DRB1_0839
ClassII,DRB1_0840
ClassII,DRB1_0901
ClassII,DRB1_0902
ClassII,DRB1_0903
ClassII,DRB1_0904
ClassII,DRB1_0905
ClassII,DRB1_0906
ClassII,DRB1_0907
ClassII,DRB1_0908
ClassII,DRB1_0909
ClassII,DRB1_1001
ClassII,DRB1_1002
ClassII,DRB1_1003
ClassII,DRB1_1101
ClassII,DRB1_1102
ClassII,DRB1_1103
ClassII,DRB1_1104
ClassII,DRB1_1105
ClassII,DRB1_1106
ClassII,DRB1_1107
ClassII,DRB1_1108
ClassII,DRB1_1109
ClassII,DRB1_1110
ClassII,DRB1_1111
ClassII,DRB1_1112
ClassII,DRB1_1113
ClassII,DRB1_1114
ClassII,DRB1_1115
ClassII,DRB1_1116
ClassII,DRB1_1117
ClassII,DRB1_1118
ClassII,DRB1_1119
ClassII,DRB1_1120
ClassII,DRB1_1121
ClassII,DRB1_1124
ClassII,DRB1_1125
ClassII,DRB1_1127
ClassII,DRB1_1128
ClassII,DRB1_1129
ClassII,DRB1_1130
ClassII,DRB1_1131
ClassII,DRB1_1132
ClassII,DRB1_1133
ClassII,DRB1_1134
ClassII,DRB1_1135
ClassII,DRB1_1136
ClassII,DRB1_1137
ClassII,DRB1_1138
ClassII,DRB1_1139
ClassII,DRB1_1141
ClassII,DRB1_1142
ClassII,DRB1_1143
ClassII,DRB1_1144
ClassII,DRB1_1145
ClassII,DRB1_1146
ClassII,DRB1_1147
ClassII,DRB1_1148
ClassII,DRB1_1149
ClassII,DRB1_1150
ClassII,DRB1_1151
ClassII,DRB1_1152
ClassII,DRB1_1153
ClassII,DRB1_1154
ClassII,DRB1_1155
ClassII,DRB1_1156
ClassII,DRB1_1157
ClassII,DRB1_1158
ClassII,DRB1_1159
ClassII,DRB1_1160
ClassII,DRB1_1161
ClassII,DRB1_1162
ClassII,DRB1_1163
ClassII,DRB1_1164
ClassII,DRB1_1165
ClassII,DRB1_1166
ClassII,DRB1_1167
ClassII,DRB1_1168
ClassII,DRB1_1169
ClassII,DRB1_1170
ClassII,DRB1_1172
ClassII,DRB1_1173
ClassII,DRB1_1174
ClassII,DRB1_1175
ClassII,DRB1_1176
ClassII,DRB1_1177
ClassII,DRB1_1178
ClassII,DRB1_1179
ClassII,DRB1_1180
ClassII,DRB1_1181
ClassII,DRB1_1182
ClassII,DRB1_1183
ClassII,DRB1_1184
ClassII,DRB1_1185
ClassII,DRB1_1186
ClassII,DRB1_1187
ClassII,DRB1_1188
ClassII,DRB1_1189
ClassII,DRB1_1190
ClassII,DRB1_1191
ClassII,DRB1_1192
ClassII,DRB1_1193
ClassII,DRB1_1194
ClassII,DRB1_1195
ClassII,DRB1_1196
ClassII,DRB1_1201
ClassII,DRB1_1202
ClassII,DRB1_1203
ClassII,DRB1_1204
ClassII,DRB1_1205
ClassII,DRB1_1206
ClassII,DRB1_1207
ClassII,DRB1_1208
ClassII,DRB1_1209
ClassII,DRB1_1210
ClassII,DRB1_1211
